station,catchment-no,district,latitude,longitude
samod-jaipur,406.0,jaipur,"27010"" N","75045"" E"
sanganer-jaipur,406.0,jaipur,"26048"" N","75047"" E"
sikrai-jaipur,403.0,jaipur,"26050"" N","76042"" E"
jaipur (a)-jaipur,406.0,jaipur,"26054"" N","75048"" E"
jaipur ( ad.)-jaipur,406.0,jaipur,"26049"" N","75048"" E"
chhaparwara-jaipur,,jaipur,,
hingonia-jaipur,,jaipur,,
jobner agro-jaipur,600.0,jaipur,"27000"" N","75005"" E"
kalakhsagar-jaipur,,jaipur,,
kanota irri-jaipur,406.0,jaipur,"26053"" N","75057"" E"
manoharpur-jaipur,,jaipur,,
med-jaipur,,jaipur,,
mokhampura-jaipur,,jaipur,,
pachor-jaipur,,jaipur,,
rahwas-jaipur,,jaipur,,
rehlava-jaipur,,jaipur,,
tala-jaipur,,jaipur,,
tunga-jaipur,,jaipur,,
shahpura-jaipur,,jaipur,,
amber (irri.)-jaipur,,jaipur,,
jaipur (irri.)-jaipur,,jaipur,,
viratnagar-jaipur,,jaipur,,
amber-jaipur,406.0,jaipur,"26059"" N","75052"" E"
bairath-jaipur,403.0,jaipur,"27027"" N","76011"" E"
bassi-jaipur,406.0,jaipur,"26050"" N","76004"" E"
baswa-jaipur,403.0,jaipur,"27009"" N","76035"" E"
chaksu-jaipur,406.0,jaipur,"26036"" N","75057"" E"
chomu-jaipur,600.0,jaipur,"27010"" N","75043"" E"
dausa-jaipur,403.0,jaipur,"26054"" N","76020"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"26041"" N","75014"" E"
jaipur-jaipur,406.0,jaipur,"26055"" N","76050"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"27004"" N","76002"" E"
kotputli-jaipur,403.0,jaipur,"27043"" N","76013"" E"
lalsot-jaipur,406.0,jaipur,"26033"" N","76020"" E"
naraina-jaipur,406.0,jaipur,"26048"" N","75013"" E"
paota-jaipur,403.0,jaipur,"26052"" N","76056"" E"
phagi-jaipur,406.0,jaipur,"26035"" N","75034"" E"
phulera-jaipur,406.0,jaipur,"26045"" N","75014"" E"
sambhar-jaipur,600.0,jaipur,"26055"" N","75011"" E"
samod-jaipur,406.0,jaipur,"27010"" N","75045"" E"
sanganer-jaipur,406.0,jaipur,"26048"" N","75047"" E"
sikrai-jaipur,403.0,jaipur,"26050"" N","76042"" E"
jaipur (a)-jaipur,406.0,jaipur,"26054"" N","75048"" E"
jaipur ( ad.) (a)-jaipur,406.0,jaipur,"26049"" N","75048"" E"
chhaparwara *-jaipur,,jaipur,,
hingonia *-jaipur,,jaipur,,
jobner agro *-jaipur,600.0,jaipur,"27000"" N","75005"" E"
kalakhsagar *-jaipur,,jaipur,,
kanota *-jaipur,406.0,jaipur,"26053"" N","75057"" E"
manoharpur *-jaipur,,jaipur,,
med *-jaipur,,jaipur,,
mokhampura *-jaipur,,jaipur,,
pachor *-jaipur,,jaipur,,
rahwas *-jaipur,,jaipur,,
rehlava *-jaipur,,jaipur,,
tala *-jaipur,,jaipur,,
tunga *-jaipur,,jaipur,,
amber *-jaipur,406.0,jaipur,"26059"" N","75032"" E"
sainthal *-jaipur,,jaipur,,
jaipur *-jaipur,406.0,jaipur,"26054"" N","75048"" E"
amber-jaipur,406.0,jaipur,"26059"" N","75052"" E"
bairath-jaipur,403.0,jaipur,"27027"" N","76011"" E"
bassi-jaipur,406.0,jaipur,"26050"" N","76004"" E"
baswa-jaipur,403.0,jaipur,"27009"" N","76035"" E"
chaksu-jaipur,406.0,jaipur,"26036"" N","75057"" E"
chomu-jaipur,600.0,jaipur,"27010"" N","75043"" E"
dausa-jaipur,403.0,jaipur,"26054"" N","76020"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"26041"" N","75014"" E"
jaipur-jaipur,406.0,jaipur,"26055"" N","76050"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"27004"" N","76002"" E"
kotputli-jaipur,403.0,jaipur,"27043"" N","76013"" E"
lalsot-jaipur,406.0,jaipur,"26033"" N","76020"" E"
naraina-jaipur,406.0,jaipur,"26048"" N","75013"" E"
paota-jaipur,403.0,jaipur,"26052"" N","76056"" E"
phagi-jaipur,406.0,jaipur,"26035"" N","75034"" E"
phulera-jaipur,406.0,jaipur,"26045"" N","75014"" E"
sambhar-jaipur,600.0,jaipur,"26055"" N","75011"" E"
samod-jaipur,406.0,jaipur,"27010"" N","75045"" E"
sanganer-jaipur,406.0,jaipur,"26048"" N","75047"" E"
sikrai-jaipur,403.0,jaipur,"26050"" N","76042"" E"
jaipur (a)-jaipur,406.0,jaipur,"26054"" N","75048"" E"
jaipur ( ad.)-jaipur,406.0,jaipur,"26049"" N","75048"" E"
chhaparwara-jaipur,,jaipur,,
hingonia-jaipur,,jaipur,,
jobner agro-jaipur,600.0,jaipur,"27000"" N","75005"" E"
kalakhsagar-jaipur,,jaipur,,
kanota-jaipur,406.0,jaipur,"26053"" N","75057"" E"
manoharpur-jaipur,,jaipur,,
med-jaipur,,jaipur,,
mokhampura-jaipur,,jaipur,,
pachor-jaipur,,jaipur,,
rahwas-jaipur,,jaipur,,
rehlava-jaipur,,jaipur,,
tala-jaipur,,jaipur,,
tunga-jaipur,,jaipur,,
jaipur ( irri.)-jaipur,,jaipur,,
sagar tank amber-jaipur,,jaipur,,
amber-jaipur,406.0,jaipur,"26059"" N","75052"" E"
bairath-jaipur,403.0,jaipur,"27027"" N","76011"" E"
bassi-jaipur,406.0,jaipur,"26050"" N","76004"" E"
chaksu-jaipur,406.0,jaipur,"26036"" N","75057"" E"
chomu-jaipur,600.0,jaipur,"27010"" N","75043"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"26041"" N","75014"" E"
jaipur-jaipur,406.0,jaipur,"26055"" N","76050"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"27004"" N","76002"" E"
kotputli-jaipur,403.0,jaipur,"27043"" N","76013"" E"
naraina-jaipur,406.0,jaipur,"26048"" N","75013"" E"
paota-jaipur,403.0,jaipur,"26052"" N","76056"" E"
phagi-jaipur,406.0,jaipur,"26035"" N","75034"" E"
phulera-jaipur,406.0,jaipur,"26045"" N","75014"" E"
sambhar-jaipur,600.0,jaipur,"26055"" N","75011"" E"
samod-jaipur,406.0,jaipur,"27010"" N","75045"" E"
sanganer-jaipur,406.0,jaipur,"26048"" N","75047"" E"
jaipur (a)-jaipur,406.0,jaipur,"26054"" N","75048"" E"
jaipur ( ad.)-jaipur,406.0,jaipur,"26049"" N","75048"" E"
chhaparwara-jaipur,,jaipur,,
hingonia-jaipur,,jaipur,,
jobner agro-jaipur,600.0,jaipur,"27000"" N","75005"" E"
kalakhsagar-jaipur,,jaipur,,
kanota-jaipur,406.0,jaipur,"26053"" N","75057"" E"
manoharpur-jaipur,,jaipur,,
med-jaipur,,jaipur,,
mokhampura-jaipur,,jaipur,,
pachor-jaipur,,jaipur,,
rahwas-jaipur,,jaipur,,
rehlava-jaipur,,jaipur,,
tala-jaipur,,jaipur,,
tunga-jaipur,,jaipur,,
jaipur (irri.)-jaipur,,jaipur,,
lalsot-jaipur,,jaipur,,
jamwa ramgarh-jaipur,403.0,jaipur,2704,7602
dausa-jaipur,403.0,jaipur,2654,7620
lalsot-jaipur,406.0,jaipur,2633,7620
dudu-jaipur,406.0,jaipur,2641,7514
sanganer-jaipur,,jaipur,,
baswa-jaipur,403.0,jaipur,2709,7635
naraina-jaipur,406.0,jaipur,2648,7513
chomu-jaipur,600.0,jaipur,2710,7543
samod-jaipur,406.0,jaipur,2710,7545
phulera-jaipur,406.0,jaipur,2645,7514
phagi-jaipur,406.0,jaipur,2635,7534
sikrai-jaipur,403.0,jaipur,2650,7642
bassi-jaipur,406.0,jaipur,2650,7604
chaksu-jaipur,406.0,jaipur,2636,7557
amber-jaipur,406.0,jaipur,2659,7552
jaipur-jaipur,406.0,jaipur,2654,7548
makhanpura-jaipur,,jaipur,,
kalakhsagar-jaipur,,jaipur,,
kanota (irri)-jaipur,,jaipur,,
sambhar-jaipur,,jaipur,,
jaipur ( irrig.)-jaipur,,jaipur,,
jaipur ( airport )-jaipur,406.0,jaipur,2649,7548
bairath-jaipur,403.0,jaipur,2727,7611
kotputli-jaipur,403.0,jaipur,2743,7613
pawata-jaipur,403.0,jaipur,2652,7656
jaipur (a)-jaipur,406.0,jaipur,2655,7650
jamwa ramgarh-jaipur,403.0,jaipur,2704,7602
dausa-jaipur,403.0,jaipur,2654,7620
lalsot-jaipur,406.0,jaipur,2633,7620
dudu-jaipur,406.0,jaipur,2641,7514
sanganer-jaipur,,jaipur,,
baswa-jaipur,403.0,jaipur,2709,7635
naraina-jaipur,406.0,jaipur,2648,7513
chomu-jaipur,600.0,jaipur,2710,7543
sambhar-jaipur,600.0,jaipur,2655,7511
samod-jaipur,406.0,jaipur,2710,7545
phulera-jaipur,406.0,jaipur,2645,7514
phagi-jaipur,406.0,jaipur,2635,7534
sikrai-jaipur,403.0,jaipur,2650,7642
bassi-jaipur,406.0,jaipur,2650,7604
chaksu-jaipur,406.0,jaipur,2636,7557
amber-jaipur,406.0,jaipur,2659,7552
chhaparwara-jaipur,,jaipur,,
jaipur-jaipur,406.0,jaipur,2654,7548
makhanpura-jaipur,,jaipur,,
hingonia-jaipur,,jaipur,,
kalakhsagar-jaipur,,jaipur,,
kanota-jaipur,406.0,jaipur,2653,7557
kanota (irri)-jaipur,,jaipur,,
sagar tank amber-jaipur,,jaipur,,
jaipur ( irrig.)-jaipur,,jaipur,,
jaipur ( airport )-jaipur,406.0,jaipur,2649,7548
amber-jaipur,406.0,jaipur,"260 59"" N","750 52"" E"
bairath-jaipur,403.0,jaipur,"270 27"" N","760 11"" E"
bassi-jaipur,406.0,jaipur,"260 50"" N","760 04"" E"
chaksu-jaipur,406.0,jaipur,"260 36"" N","750 57"" E"
chomu-jaipur,600.0,jaipur,"270 10"" N","750 43"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"260 41"" N","750 14"" E"
jaipur-jaipur,406.0,jaipur,"260 55"" N","760 50"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"270 04"" N","760 02"" E"
kotputli-jaipur,403.0,jaipur,"270 43"" N","760 13"" E"
naraina-jaipur,406.0,jaipur,"260 48"" N","750 13"" E"
paota-jaipur,403.0,jaipur,"260 52"" N","760 56"" E"
phagi-jaipur,406.0,jaipur,"260 35"" N","750 34"" E"
phulera-jaipur,406.0,jaipur,"260 45"" N","750 14"" E"
sambhar-jaipur,600.0,jaipur,"260 55"" N","750 11"" E"
samod-jaipur,406.0,jaipur,"270 10"" N","750 45"" E"
sanganer-jaipur,406.0,jaipur,"260 48"" N","750 47"" E"
jaipur a .p. (imd)-jaipur,406.0,jaipur,"260 55"" N","760 50"" E"
baswa-jaipur,406.0,jaipur,"270 09"" N","760 35"" E"
dausa-jaipur,406.0,jaipur,"260 54"" N","760 20"" E"
lalsot-dausa,406.0,dausa,"260 33"" N","760 20"" E"
sikrai-jaipur,406.0,jaipur,"260 55"" N","760 42"" E"
amber-jaipur,406.0,jaipur,"260 59"" N","750 52"" E"
bairath-jaipur,403.0,jaipur,"270 27"" N","760 11"" E"
bassi-jaipur,406.0,jaipur,"260 50"" N","760 04"" E"
chaksu-jaipur,406.0,jaipur,"260 36"" N","750 57"" E"
chomu-jaipur,600.0,jaipur,"270 10"" N","750 43"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"260 41"" N","750 14"" E"
jaipur-jaipur,406.0,jaipur,"260 55"" N","760 50"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"270 04"" N","760 02"" E"
kotputli-jaipur,403.0,jaipur,"270 43"" N","760 13"" E"
naraina-jaipur,406.0,jaipur,"260 48"" N","750 13"" E"
paota-jaipur,403.0,jaipur,"260 52"" N","760 56"" E"
phagi-jaipur,406.0,jaipur,"260 35"" N","750 34"" E"
phulera-jaipur,406.0,jaipur,"260 45"" N","750 14"" E"
